2024-10-29 08:41:49,071: Namespace(device='cuda', alpha=0.8, beta=1.0, lr=0.0001, pretrain_epochs=10, num_epochs=50, noise_strength=0.2, no_adversarial=False, visualize=False, debug=True, no_cam=False, seed=42, threshold=0.5, positive_weight=1.05, dataset='chexpert', feature='ch_n02')
2024-10-29 08:41:49,168: Number of GPUs available: 8
2024-10-29 08:41:50,445: Number of samples in training dataset: 22341 | testing dataset:234
2024-10-29 08:41:50,445: positive weight: 36.9080
2024-10-29 09:00:45,624: Step [80/699], Loss D: 0.3389, Loss G: -0.4405
2024-10-29 09:00:48,893: Step [100/699], Loss D: 0.3190, Loss G: -0.1897
2024-10-29 09:00:52,258: Step [120/699], Loss D: 0.4946, Loss G: -0.3541
2024-10-29 09:00:55,552: Step [140/699], Loss D: 0.3915, Loss G: -0.2177
2024-10-29 09:00:58,979: Step [160/699], Loss D: 0.4934, Loss G: 0.1000
2024-10-29 09:01:02,294: Step [180/699], Loss D: 0.4612, Loss G: -0.6280
2024-10-29 09:01:05,552: Step [200/699], Loss D: 0.5294, Loss G: -0.4719
2024-10-29 09:01:08,853: Step [220/699], Loss D: 1.0937, Loss G: 0.1034
2024-10-29 09:01:12,252: Step [240/699], Loss D: 0.4351, Loss G: -0.1612
2024-10-29 09:01:15,584: Step [260/699], Loss D: 0.4276, Loss G: -0.2629
2024-10-29 09:01:19,352: Step [280/699], Loss D: 0.3609, Loss G: -0.1071
2024-10-29 09:01:23,563: Step [300/699], Loss D: 0.5365, Loss G: 0.1729
2024-10-29 09:01:27,825: Step [320/699], Loss D: 0.4858, Loss G: 0.0793
2024-10-29 09:01:32,194: Step [340/699], Loss D: 0.5208, Loss G: 0.1131
2024-10-29 09:01:36,409: Step [360/699], Loss D: 0.4542, Loss G: 0.5013
2024-10-29 09:01:39,720: Step [380/699], Loss D: 0.6664, Loss G: -0.3533
2024-10-29 09:01:42,980: Step [400/699], Loss D: 0.2120, Loss G: -0.1795
2024-10-29 09:01:46,347: Step [420/699], Loss D: 1.1894, Loss G: -0.6167
2024-10-29 09:01:49,656: Step [440/699], Loss D: 0.5027, Loss G: 0.2490
2024-10-29 09:01:53,616: Step [460/699], Loss D: 0.5831, Loss G: 0.5351
2024-10-29 09:01:57,765: Step [480/699], Loss D: 0.6445, Loss G: -0.1320
2024-10-29 09:02:01,933: Step [500/699], Loss D: 0.5902, Loss G: 0.2739
2024-10-29 09:02:06,073: Step [520/699], Loss D: 0.4129, Loss G: -0.3759
2024-10-29 09:02:10,200: Step [540/699], Loss D: 0.4054, Loss G: -0.2130
2024-10-29 09:02:14,234: Step [560/699], Loss D: 0.5468, Loss G: -0.1316
2024-10-29 09:02:18,110: Step [580/699], Loss D: 0.5694, Loss G: 0.0917
2024-10-29 09:02:21,828: Step [600/699], Loss D: 0.3308, Loss G: -0.3174
2024-10-29 09:02:25,678: Step [620/699], Loss D: 0.3101, Loss G: 0.2170
2024-10-29 09:02:29,631: Step [640/699], Loss D: 0.3171, Loss G: -0.3597
2024-10-29 09:02:33,516: Step [660/699], Loss D: 0.4057, Loss G: 0.0398
2024-10-29 09:02:37,404: Step [680/699], Loss D: 0.3907, Loss G: -0.0343
2024-10-29 09:02:59,754: Test Loss: 0.6603, Accuracy: 0.7436
2024-10-29 09:02:59,754: DP:0.01, EO:0.25
2024-10-29 09:03:17,031: Step [20/699], Loss D: 0.5899, Loss G: -0.3306
2024-10-29 09:03:21,190: Step [40/699], Loss D: 0.6852, Loss G: -0.0545
2024-10-29 09:03:24,911: Step [60/699], Loss D: 0.3185, Loss G: -0.5015
2024-10-29 09:03:28,308: Step [80/699], Loss D: 0.2155, Loss G: 0.0003
2024-10-29 09:03:31,654: Step [100/699], Loss D: 0.3031, Loss G: -0.0025
2024-10-29 09:03:34,970: Step [120/699], Loss D: 0.5378, Loss G: -0.1064
2024-10-29 09:03:38,272: Step [140/699], Loss D: 0.4086, Loss G: -0.2083
2024-10-29 09:03:41,725: Step [160/699], Loss D: 0.3278, Loss G: 0.2150
2024-10-29 09:03:45,653: Step [180/699], Loss D: 0.2302, Loss G: -0.3476
2024-10-29 09:03:49,391: Step [200/699], Loss D: 0.4865, Loss G: -0.1987
2024-10-29 09:03:52,782: Step [220/699], Loss D: 0.2563, Loss G: 0.0186
2024-10-29 09:03:56,199: Step [240/699], Loss D: 0.3871, Loss G: -0.4956
2024-10-29 09:03:59,502: Step [260/699], Loss D: 0.8150, Loss G: -0.2349
2024-10-29 09:04:02,898: Step [280/699], Loss D: 0.4464, Loss G: -0.2721
2024-10-29 09:04:06,238: Step [300/699], Loss D: 0.2873, Loss G: -0.1788
2024-10-29 09:04:09,552: Step [320/699], Loss D: 0.3363, Loss G: -0.1720
2024-10-29 09:04:12,894: Step [340/699], Loss D: 0.6020, Loss G: -0.1338
2024-10-29 09:04:16,181: Step [360/699], Loss D: 0.3328, Loss G: -0.3009
2024-10-29 09:04:20,505: Step [380/699], Loss D: 0.2756, Loss G: -0.1549
2024-10-29 09:04:24,897: Step [400/699], Loss D: 0.5507, Loss G: -0.5169
2024-10-29 09:04:28,940: Step [420/699], Loss D: 0.4549, Loss G: -0.4035
2024-10-29 09:04:32,654: Step [440/699], Loss D: 0.4019, Loss G: -0.1622
2024-10-29 09:04:35,996: Step [460/699], Loss D: 0.4392, Loss G: -0.3581
2024-10-29 09:04:39,290: Step [480/699], Loss D: 0.5862, Loss G: -0.4795
2024-10-29 09:04:42,640: Step [500/699], Loss D: 0.4185, Loss G: -0.2922
2024-10-29 09:04:45,909: Step [520/699], Loss D: 0.2072, Loss G: -0.3803
2024-10-29 09:04:49,230: Step [540/699], Loss D: 0.3541, Loss G: -0.2221
2024-10-29 09:04:52,844: Step [560/699], Loss D: 0.3310, Loss G: -0.2463
2024-10-29 09:04:56,555: Step [580/699], Loss D: 0.4034, Loss G: 0.0555
2024-10-29 09:05:00,320: Step [600/699], Loss D: 0.4885, Loss G: 0.0921
2024-10-29 09:05:04,068: Step [620/699], Loss D: 0.3981, Loss G: 0.1816
2024-10-29 09:05:07,790: Step [640/699], Loss D: 0.5004, Loss G: -0.2676
2024-10-29 09:05:11,460: Step [660/699], Loss D: 0.3390, Loss G: 0.4051
2024-10-29 09:05:15,042: Step [680/699], Loss D: 0.3328, Loss G: -0.2117
2024-10-29 09:05:37,437: Test Loss: 0.6820, Accuracy: 0.7137
2024-10-29 09:05:37,437: DP:0.03, EO:0.25
2024-10-29 09:05:56,514: Step [20/699], Loss D: 0.2497, Loss G: -0.1835
2024-10-29 09:06:00,300: Step [40/699], Loss D: 0.3824, Loss G: -0.1162
2024-10-29 09:06:03,957: Step [60/699], Loss D: 0.3729, Loss G: -0.3972
2024-10-29 09:06:07,332: Step [80/699], Loss D: 0.3086, Loss G: -0.1533
2024-10-29 09:06:10,690: Step [100/699], Loss D: 0.4624, Loss G: -0.3201
2024-10-29 09:06:14,045: Step [120/699], Loss D: 0.2417, Loss G: -0.3838
2024-10-29 09:06:17,414: Step [140/699], Loss D: 0.2207, Loss G: -0.1876
2024-10-29 09:06:20,815: Step [160/699], Loss D: 0.4108, Loss G: -0.1281
2024-10-29 09:06:24,073: Step [180/699], Loss D: 0.2605, Loss G: -0.0329
2024-10-29 09:06:27,435: Step [200/699], Loss D: 0.3347, Loss G: 0.0894
2024-10-29 09:06:31,293: Step [220/699], Loss D: 0.2881, Loss G: 0.1129
2024-10-29 09:06:34,674: Step [240/699], Loss D: 0.4524, Loss G: -0.4658
2024-10-29 09:06:38,055: Step [260/699], Loss D: 0.2948, Loss G: -0.2622
2024-10-29 09:06:41,389: Step [280/699], Loss D: 0.3292, Loss G: -0.5526
2024-10-29 09:06:44,653: Step [300/699], Loss D: 0.2972, Loss G: 0.0101
