2024-10-29 11:00:54,344: Namespace(device='cuda', alpha=0.8, beta=1.0, lr=0.0001, pretrain_epochs=10, num_epochs=50, noise_strength=0.3, no_adversarial=False, visualize=False, debug=True, no_cam=False, seed=42, threshold=0.5, positive_weight=1.05, dataset='chexpert', feature='ch_n03')
2024-10-29 11:00:54,443: Number of GPUs available: 8
2024-10-29 11:00:55,733: Number of samples in training dataset: 22341 | testing dataset:234
2024-10-29 11:00:55,734: positive weight: 36.9080
2024-10-29 11:24:20,043: Step [240/699], Loss D: 0.6161, Loss G: 0.1915
2024-10-29 11:24:24,674: Step [260/699], Loss D: 0.4114, Loss G: -0.0395
2024-10-29 11:24:29,363: Step [280/699], Loss D: 0.3959, Loss G: -0.4511
2024-10-29 11:24:33,925: Step [300/699], Loss D: 0.5483, Loss G: -0.2796
2024-10-29 11:24:38,327: Step [320/699], Loss D: 0.4335, Loss G: -0.4833
2024-10-29 11:24:42,724: Step [340/699], Loss D: 0.5378, Loss G: -0.1688
2024-10-29 11:24:46,987: Step [360/699], Loss D: 0.3283, Loss G: -0.3790
2024-10-29 11:24:51,192: Step [380/699], Loss D: 0.4886, Loss G: -0.2195
2024-10-29 11:24:56,346: Step [400/699], Loss D: 0.5409, Loss G: -0.4950
2024-10-29 11:25:01,408: Step [420/699], Loss D: 0.3914, Loss G: -0.0081
2024-10-29 11:25:06,923: Step [440/699], Loss D: 0.4602, Loss G: -0.5788
2024-10-29 11:25:12,610: Step [460/699], Loss D: 0.4003, Loss G: 0.1676
2024-10-29 11:25:17,527: Step [480/699], Loss D: 0.3661, Loss G: -0.3581
2024-10-29 11:25:22,692: Step [500/699], Loss D: 0.3637, Loss G: 0.2108
2024-10-29 11:25:27,992: Step [520/699], Loss D: 0.4542, Loss G: -0.1258
2024-10-29 11:25:33,282: Step [540/699], Loss D: 0.4026, Loss G: 0.0745
2024-10-29 11:25:38,547: Step [560/699], Loss D: 0.6494, Loss G: -0.1493
2024-10-29 11:25:44,329: Step [580/699], Loss D: 0.3416, Loss G: -0.4685
2024-10-29 11:25:49,972: Step [600/699], Loss D: 0.5654, Loss G: -0.2447
2024-10-29 11:25:55,513: Step [620/699], Loss D: 0.2956, Loss G: -0.0942
2024-10-29 11:26:01,101: Step [640/699], Loss D: 0.4437, Loss G: -0.4329
2024-10-29 11:26:06,289: Step [660/699], Loss D: 0.5551, Loss G: -0.2738
2024-10-29 11:26:11,371: Step [680/699], Loss D: 0.7143, Loss G: -0.5255
2024-10-29 11:26:48,040: Test Loss: 0.7802, Accuracy: 0.7009, F1: 0.0000, AUC: 0.3667
2024-10-29 11:26:48,040: DP:0.09, EO:0.00
2024-10-29 11:27:19,284: Step [20/699], Loss D: 0.6498, Loss G: -0.5674
2024-10-29 11:27:24,059: Step [40/699], Loss D: 0.4501, Loss G: -0.4855
2024-10-29 11:27:28,461: Step [60/699], Loss D: 0.4564, Loss G: -0.5535
2024-10-29 11:27:32,956: Step [80/699], Loss D: 0.3505, Loss G: -0.1133
2024-10-29 11:27:37,569: Step [100/699], Loss D: 0.3671, Loss G: 0.2751
2024-10-29 11:27:42,217: Step [120/699], Loss D: 0.4692, Loss G: 0.0956
2024-10-29 11:27:46,915: Step [140/699], Loss D: 0.3646, Loss G: 0.2534
2024-10-29 11:27:51,458: Step [160/699], Loss D: 0.3432, Loss G: -0.4662
2024-10-29 11:27:56,547: Step [180/699], Loss D: 0.6588, Loss G: -0.3178
2024-10-29 11:28:01,504: Step [200/699], Loss D: 0.4130, Loss G: -0.2201
2024-10-29 11:28:06,009: Step [220/699], Loss D: 0.4949, Loss G: -0.4513
2024-10-29 11:28:10,547: Step [240/699], Loss D: 0.4378, Loss G: -0.2254
2024-10-29 11:28:15,117: Step [260/699], Loss D: 0.3116, Loss G: -0.2288
2024-10-29 11:28:19,588: Step [280/699], Loss D: 0.3612, Loss G: 0.1229
2024-10-29 11:28:24,113: Step [300/699], Loss D: 0.4127, Loss G: 0.0248
2024-10-29 11:28:28,491: Step [320/699], Loss D: 0.6873, Loss G: -0.3252
2024-10-29 11:28:33,021: Step [340/699], Loss D: 0.5102, Loss G: 0.1282
2024-10-29 11:28:37,120: Step [360/699], Loss D: 0.6600, Loss G: -0.4898
2024-10-29 11:28:40,801: Step [380/699], Loss D: 0.5629, Loss G: 0.0442
2024-10-29 11:28:44,496: Step [400/699], Loss D: 0.5386, Loss G: -0.1380
2024-10-29 11:28:48,082: Step [420/699], Loss D: 0.5010, Loss G: -0.2856
